,Unnamed: 0.1,Unnamed: 0,subject,name,uid,description,description_NER
25,25,25,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/NumberOfFasteners,Number of fasteners,NumberOfFasteners,Number of fasteners used to fasten the sign ,sign
26,26,26,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MilageValue,Milage value ,MilageValue,Location on track line in kilometers and meters,Location
27,27,27,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Status,Status,Status,The status currently assigned to the permit.,"status, permit"
28,28,28,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SignIs1FacedOr2Faced,Sign is 1 faced / 2 faced,SignIs1FacedOr2Faced,One face of sign has text or both faces of the sign has text ,"sign, text, faces, sign, text"
29,29,29,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Plug,Plug,Plug,Information about whether the item contains a plug,item
30,30,30,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/GlobalId,GlobalId,GlobalId,Assignment of a globally unique identifier within the entire software world.,
31,31,31,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/TrafficOperationPointOrLocationOnLine,Location on traffic operation point / location on rail line,TrafficOperationPointOrLocationOnLine,Information on whether the object is located in the rail line or traffic operation point,object
32,32,32,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Manufacturer,Manufacturer,Manufacturer,The organization that manufactured and/or assembled the item.,"organization, item"
33,33,33,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/AssetType,Asset type,AssetType,The type of asset to which the object belongs (e.g. Rail signs),"type of, asset, object"
34,34,34,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Place,Place,Place,Used if Location on the track line is not accurate enough,Location
35,35,35,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpringDeviceType,Spring device type,SpringDeviceType,No English description available,
36,36,36,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/LockingDeviceManufacturer,Locking device manufacturer,LockingDeviceManufacturer,No English description available,
37,37,37,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PointDetectorType,Point detector type,PointDetectorType,No English description available,
38,38,38,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/endPartFasteningSystem,End part fastening system,endPartFasteningSystem,No English description available,
39,39,39,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogManufacturer,Frog manufacturer,frogManufacturer,No English description available,
40,40,40,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/WoodSleeperTreatment,Wood sleeper treatment,WoodSleeperTreatment,No English description available,
41,41,41,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitches,Set of switches,SetOfSwitches,No English description available,
42,42,42,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SafetyTurnout,Safety turnout,SafetyTurnout,No English description available,
43,43,43,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/TurnoutID,Turnout ID,TurnoutID,No English description available,
44,44,44,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/pointMachineType,Point machine type,pointMachineType,No English description available,
45,45,45,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesMaterial,Set of switches material,SetOfSwitchesMaterial,No English description available,
46,46,46,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/LockingDeviceType,Locking device type,LockingDeviceType,No English description available,
47,47,47,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/checkRailMaterial,Check rail material,checkRailMaterial,No English description available,
48,48,48,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PrivateTrackConnection,Prvate track connection,PrivateTrackConnection,No English description available,
49,49,49,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MainLineNonMainLine,Main line non main line,MainLineNonMainLine,No English description available,
50,50,50,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogMaterial,Frog material,frogMaterial,No English description available,
51,51,51,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaximumSpeedStraightRoute,Maximum speed at straight route,MaximumSpeedStraightRoute,No English description available,
52,52,52,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/EstimatedCommissioningDate,Estimated commissioning date,EstimatedCommissioningDate,No English description available,
53,53,53,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpringDeviceManufacturer,Spring device manufacturer,SpringDeviceManufacturer,No English description available,
54,54,54,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/WoodSleeperMaterial,Wood sleeper material,WoodSleeperMaterial,No English description available,
55,55,55,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SnowBrush,Snow brush,SnowBrush,No English description available,
56,56,56,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frontPartFasteningSystem,Front part fastening system,frontPartFasteningSystem,No English description available,
57,57,57,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/placementOfIninsulatedRailJoints,Placemet of insulated rail joints,placementOfIninsulatedRailJoints,No English description available,
58,58,58,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogFasteningSystem,Frog fastening system,frogFasteningSystem,No English description available,
59,59,59,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ballast,Ballast,ballast,No English description available,
60,60,60,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TurnoutHeaterType,TurnoutHeaterType,TurnoutHeaterType,Defines the kind of turnout heater installed.,kind
61,61,61,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/CLatFrontOfTurnout,Centerline at front of turnout,CLatFrontOfTurnout,No English description available,
62,62,62,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/pointMachineManufacturer,Point machine manufacturer,pointMachineManufacturer,No English description available,
63,63,63,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ballastCrushingStrengthGrade,Ballast crushing strenght grade,ballastCrushingStrengthGrade,No English description available,
64,64,64,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesManufacturer,Set of switches manufacturer,SetOfSwitchesManufacturer,No English description available,
65,65,65,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/checkRailLength,Check rail length,checkRailLength,No English description available,
66,66,66,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/handedness,Handedness,handedness,No English description available,
67,67,67,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/numberOfInsulatedRailJoints,Number of insulated rail joints,numberOfInsulatedRailJoints,No English description available,
68,68,68,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaximumSpeed,Maximum speed,MaximumSpeed,No English description available,
69,69,69,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/NewUsedTransferred,New/used/trasferred,NewUsedTransferred,No English description available,
70,70,70,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpeedRestrictionForRusWagons,Speed restriction for Rus wagons,SpeedRestrictionForRusWagons,No English description available,
71,71,71,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/EstimatedDecommissioningDate,Estimated decommissioning date,EstimatedDecommissioningDate,No English description available,
72,72,72,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpringDevice,Spring device,SpringDevice,No English description available,
73,73,73,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SleeperType,SleeperType,SleeperType,Indicates the sleeper type.,
74,74,74,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/NumberOfPointDetectors,Number of oint detectors,NumberOfPointDetectors,No English description available,
75,75,75,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/closureAreaFasteningSystem,Closure area fastening system,closureAreaFasteningSystem,No English description available,
76,76,76,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/pointMachineSide,Point machine side,pointMachineSide,No English description available,
77,77,77,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ballastDepth,Ballast depth,ballastDepth,No English description available,
78,78,78,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesFasteningSystem,Set of switches fastening system,SetOfSwitchesFasteningSystem,No English description available,
79,79,79,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SnowGuide,Snow guide,SnowGuide,No English description available,
80,80,80,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/CLatSwitchTip,Centerline at switch tip,CLatSwitchTip,No English description available,
81,81,81,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/UnderSleeperPadsType,Under sleeper pads type,UnderSleeperPadsType,No English description available,
82,82,82,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesProfile,Set oof switches profile,SetOfSwitchesProfile,No English description available,
83,83,83,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/checkRailProfile,Check rail profile,checkRailProfile,No English description available,
84,84,84,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TypeOfTurnout,TypeOfTurnout,TypeOfTurnout,Type of turnout.,turnout
85,85,85,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/RoutePartNumberID,Route part number ID,RoutePartNumberID,No English description available,
86,86,86,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/JointedTurnoutOrCWRturnout,Jointed turnout/CWR turnout,JointedTurnoutOrCWRturnout,No English description available,
87,87,87,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaximumSpeedLimitOfDivergingLine,MaximumSpeedLimitOfDivergingLine,MaximumSpeedLimitOfDivergingLine,Maximum speed for diverging line that corresponds to the type of turnout and design constraints.,"type, turnout"
88,88,88,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ConditionMaintenanceLevel,ConditionMaintenanceLevel,ConditionMaintenanceLevel,Condition that will trigger maintenance,Condition
89,89,89,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/WoodSleeperType,Wood sleeper type,WoodSleeperType,No English description available,
90,90,90,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PointDetectorManufacturer,Point detector manufacturer,PointDetectorManufacturer,No English description available,
91,91,91,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ConcreteSleeperType,Concrete sleeper type,ConcreteSleeperType,No English description available,
92,92,92,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/CLatHeelOfTurnout,Centerline at heel of turnout,CLatHeelOfTurnout,No English description available,
93,93,93,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogType,Frog type,frogType,No English description available,
94,94,94,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/turnoutRouteIndicator,Turnout route indicator,turnoutRouteIndicator,No English description available,
95,95,140,https://identifier.buildingsmart.org/uri/FTIA/FTIA-Rata-1.0/prop/pölkkytyyppi,Pölkkytyyppi,pölkkytyyppi,New property description 1,property description
96,96,176,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/korjauksen-kiireellisyysluokka,Korjauksen kiireellisyysluokka,korjauksen-kiireellisyysluokka,New property description 33,New property description
97,97,177,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/vari,Väri,vari,New property description 923,
98,98,196,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kaidepylvastyyppi,Kaidepylvästyyppi,kaidepylvastyyppi,New property description 21,New property description
99,99,198,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/ankkurointi,Ankkurointi,ankkurointi,New property description 17,New property description
100,100,199,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/puoleisuus,Puoleisuus,puoleisuus,New property description 5,New property description
101,101,200,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kaiderakenne,Rakenne,kaiderakenne,New property description 3,New property description
102,102,202,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/nopeustaso,Nopeustaso,nopeustaso,New property description 17,New property description
103,103,205,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-rakeisuus,Rakeisuus,kantavan-kerroksen-rakeisuus,New property description 8,New property description
104,104,206,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-tyyppi,Tyyppi,kantavan-kerroksen-tyyppi,New property description 6,New property description
105,105,207,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-iskunkestavyys,Iskunkestävyys,kantavan-kerroksen-iskunkestavyys,New property description 1,property description
106,106,210,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/seosaine,Seosaine,seosaine,New property description 23,New property description
107,107,214,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-stabilointityyppi,Stabilointityyppi,kantavan-kerroksen-stabilointityyppi,New property description 7,New property description
108,108,216,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/paksuus,Paksuus,paksuus,New property description 7,New property description
109,109,217,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/sideainepitoisuus,Sideainepitoisuus,sideainepitoisuus,New property description 4,New property description
110,110,218,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-materiaali,Materiaali,kantavan-kerroksen-materiaali,New property description 2,property description
111,111,220,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/rumpuputkimateriaali-tarkennettu,Tarkennettu materiaali,rumpuputkimateriaali-tarkennettu,New property description 3,New property description
112,112,223,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lammityskaapeli,Lämmityskaapeli,lammityskaapeli,New property description 11,property description
113,113,224,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kuormitusluokka,Kuormitusluokka,kuormitusluokka,New property description 1,property description
114,114,229,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/reunatukityyppi,Reunatukityyppi,reunatukityyppi,New property description 9,New property description
115,115,235,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/tienvarsikalustetyyppi,Tienvarsikalustetyyppi,tienvarsikalustetyyppi,New property description 913,
116,116,241,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/valaistus,Valaistus,valaistus,New property description 921,
117,117,245,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lisatietoja, Lisätietoja,lisatietoja,Ei kuvausta,
118,118,252,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/muu-korjausvastuu,Muu korjausvastuu,muu-korjausvastuu,New property description 21,New property description
119,119,262,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/muu-materiaali,Materiaali,muu-materiaali,New property description 13,property description
120,120,264,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kasvillisuusrakenteen-materiaali,Materiaali,kasvillisuusrakenteen-materiaali,New property description 9,New property description
121,121,267,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/puomit-sulkulaitteet-pollarit-tarkennettutyyppi,Tarkennettu tyyppi,puomit-sulkulaitteet-pollarit-tarkennettutyyppi,New property description 1,property description
122,122,283,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lampputyyppi,Lampputyyppi,lampputyyppi,Ei kuvausta,
123,123,288,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/oid,VELHO OID,oid,New property description 32,New property description
124,124,296,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kiven-materiaali,Materiaali,kiven-materiaali,New property description 10,New property description
125,125,299,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/pylvaan-paksuus,Paksuus,pylvaan-paksuus,Ei kuvausta,
126,126,302,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/irroitettavuus,Irroitettavuus,irroitettavuus,New property description 13,property description
127,127,303,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/tormaysturvallisuus,Törmäysturvallisuus,tormaysturvallisuus,New property description 917,
128,128,309,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/vaikutussuunta,Vaikutussuunta,vaikutussuunta,New property description 7,New property description
129,129,326,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/ilmajohtorakenteet,Ilmajohtorakenteet,ilmajohtorakenteet,New property description 11,property description
130,130,332,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/putket-johdot-kaapelit-tarkennettu-materiaali,Tarkennettu materiaali,putket-johdot-kaapelit-tarkennettu-materiaali,Ei kuvausta,
131,131,333,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/paalu,Paalut,paalu,New property description 4,New property description
132,132,337,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lehtien-lukumaara,Lehtien lukumäärä,lehtien-lukumaara,New property description 3,New property description
133,133,339,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/verkon-sijainti,Verkon sijainti,verkon-sijainti,New property description 3,New property description
134,134,341,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/verkon-materiaali,Materiaali,verkon-materiaali,New property description 1,property description
135,135,342,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/jakavan-kerroksen-rakeisuus,Rakeisuus,jakavan-kerroksen-rakeisuus,New property description 22,New property description
136,136,344,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/jakavan-kerroksen-materiaali,Materiaali,jakavan-kerroksen-materiaali,New property description 21,New property description
137,137,345,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kerros-paksuus,Kerrospaksuus,kerros-paksuus,New property description 16,New property description
138,138,346,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kerros-leveys,Kerrosleveys,kerros-leveys,New property description 18,New property description
139,139,353,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kannen-saatomahdollisuus,Kannen säätömahdollisuus,kannen-saatomahdollisuus,New property description 29,New property description
140,140,356,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kannen-koko,Kannen koko,kannen-koko,New property description 930,
141,141,365,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kannen-tyyppi,Kannen tyyppi,kannen-tyyppi,New property description 31,New property description
142,142,367,https://identifier.buildingsmart.org/uri/SIUE/nbe-0.1/prop/R9r980ufkRmIA7V2zY6sGL,ElementNumber,R9r980ufkRmIA7V2zY6sGL,Refers to the national bridge elements code,
143,143,368,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop38,StandbyTime,Prop38,Measured time interval throughout which an item is in a standby state,"time interval, item"
144,144,369,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop37,RepairTime,Prop37,Part of corrective maintenance time when repair is carried out on an item.,"repair, item"
145,145,370,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop24,DownTime,Prop24,Measured time interval throughout which an item is in a down state,"time interval, item"
146,146,371,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop36,OperatingTimeToFailure,Prop36,"Operating time accumulated from the first use, or from restoration, until failure",failure
147,147,372,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop42,UpTime,Prop42,Measured time interval throughout which an item is in an up state,"time interval, item"
148,148,373,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop35,OperatingTimeBetweenFailures,Prop35,Measured time interval throughout which an item is in operating state,"time interval, item"
149,149,374,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop23,ActiveMaintenanceTime,Prop23,Part of the maintenance time when active maintenance is carried out on an item,"maintenance time, item"
150,150,375,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop34,OperatingTime,Prop34,Operating time between consecutive failures,"consecutive, failures"
151,151,376,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop33,Obsolescence,Prop33,"Inability of an item to be maintained due to the unavailability on the market of the necessary resources at acceptable technical and/or economic conditions. A ""True"" status means that the pump is obsolete and a ""False"" status means that the pump is not obsolete.","item, resources, True  status, pump, False  status, pump"
152,152,377,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop31,MeanRepairTime,Prop31,Average of the repair times,Average
153,153,378,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop30,MeanOperatingTimeBetweenFailures,Prop30,Average of the operating times between failures,"Average, failures"
154,154,379,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop32,MeanTimeToRestauration,Prop32,Average of the time to restauration,"Average, time"
155,155,380,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop29,MaintenanceTime,Prop29,"Time interval when maintenance is carried out on an item including technical, logistic and internal administrative delays","Time interval, maintenance, item"
156,156,381,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop41,TimeToRestoration,Prop41,"Time interval, from the instant of failure, until restoration",Time interval
157,157,382,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop28,MaintenanceLevel,Prop28,Maintenance task categorization by complexity,
158,158,383,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop27,IdleTime,Prop27,Measured time interval throughout which an item is in an idle state,"time interval, item"
159,159,384,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop40,TimeBetweenFailures,Prop40,Duration between consecutive failures,"consecutive, failures"
160,160,385,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop26,FailureRate,Prop26,Number of failures within a population divided by the number of life units used by that population,"Number, failures, population, number, population"
161,161,386,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop39,StateOfTheItem,Prop39,Current state of the item,item
162,162,387,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop25,ExternalDisabledTime,Prop25,Measured time interval throughout which an item is in an external disabled state,"time interval, item"
163,163,388,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop448,DiscreteInputValue,Prop448,This property contains the actual value of the discrete input unit.,property
