,subject,name,uid,description
31,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/TrafficOperationPointOrLocationOnLine,Location on traffic operation point / location on rail line,TrafficOperationPointOrLocationOnLine,Information on whether the object is located in the rail line or traffic operation point
32,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/Manufacturer,Manufacturer,Manufacturer,The organization that manufactured and/or assembled the item.
33,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/AssetType,Asset type,AssetType,The type of asset to which the object belongs (e.g. Rail signs)
34,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/Place,Place,Place,Used if Location on the track line is not accurate enough
35,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpringDeviceType,Spring device type,SpringDeviceType,No English description available
36,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/LockingDeviceManufacturer,Locking device manufacturer,LockingDeviceManufacturer,No English description available
37,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PointDetectorType,Point detector type,PointDetectorType,No English description available
38,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/endPartFasteningSystem,End part fastening system,endPartFasteningSystem,No English description available
39,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogManufacturer,Frog manufacturer,frogManufacturer,No English description available
40,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/WoodSleeperTreatment,Wood sleeper treatment,WoodSleeperTreatment,No English description available
41,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitches,Set of switches,SetOfSwitches,No English description available
42,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SafetyTurnout,Safety turnout,SafetyTurnout,No English description available
43,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/TurnoutID,Turnout ID,TurnoutID,No English description available
44,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/pointMachineType,Point machine type,pointMachineType,No English description available
45,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesMaterial,Set of switches material,SetOfSwitchesMaterial,No English description available
46,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/LockingDeviceType,Locking device type,LockingDeviceType,No English description available
47,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/checkRailMaterial,Check rail material,checkRailMaterial,No English description available
48,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PrivateTrackConnection,Prvate track connection,PrivateTrackConnection,No English description available
49,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MainLineNonMainLine,Main line non main line,MainLineNonMainLine,No English description available
50,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogMaterial,Frog material,frogMaterial,No English description available
51,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaximumSpeedStraightRoute,Maximum speed at straight route,MaximumSpeedStraightRoute,No English description available
52,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/EstimatedCommissioningDate,Estimated commissioning date,EstimatedCommissioningDate,No English description available
53,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpringDeviceManufacturer,Spring device manufacturer,SpringDeviceManufacturer,No English description available
54,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/WoodSleeperMaterial,Wood sleeper material,WoodSleeperMaterial,No English description available
55,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SnowBrush,Snow brush,SnowBrush,No English description available
56,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frontPartFasteningSystem,Front part fastening system,frontPartFasteningSystem,No English description available
57,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/placementOfIninsulatedRailJoints,Placemet of insulated rail joints,placementOfIninsulatedRailJoints,No English description available
58,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogFasteningSystem,Frog fastening system,frogFasteningSystem,No English description available
59,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ballast,Ballast,ballast,No English description available
60,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TurnoutHeaterType,TurnoutHeaterType,TurnoutHeaterType,Defines the kind of turnout heater installed.
61,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/CLatFrontOfTurnout,Centerline at front of turnout,CLatFrontOfTurnout,No English description available
62,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/pointMachineManufacturer,Point machine manufacturer,pointMachineManufacturer,No English description available
63,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ballastCrushingStrengthGrade,Ballast crushing strenght grade,ballastCrushingStrengthGrade,No English description available
64,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesManufacturer,Set of switches manufacturer,SetOfSwitchesManufacturer,No English description available
65,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/checkRailLength,Check rail length,checkRailLength,No English description available
66,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/handedness,Handedness,handedness,No English description available
67,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/numberOfInsulatedRailJoints,Number of insulated rail joints,numberOfInsulatedRailJoints,No English description available
68,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/MaximumSpeed,Maximum speed,MaximumSpeed,No English description available
69,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/NewUsedTransferred,New/used/trasferred,NewUsedTransferred,No English description available
70,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpeedRestrictionForRusWagons,Speed restriction for Rus wagons,SpeedRestrictionForRusWagons,No English description available
71,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/EstimatedDecommissioningDate,Estimated decommissioning date,EstimatedDecommissioningDate,No English description available
72,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SpringDevice,Spring device,SpringDevice,No English description available
73,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/SleeperType,SleeperType,SleeperType,Indicates the sleeper type.
74,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/NumberOfPointDetectors,Number of oint detectors,NumberOfPointDetectors,No English description available
75,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/closureAreaFasteningSystem,Closure area fastening system,closureAreaFasteningSystem,No English description available
76,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/pointMachineSide,Point machine side,pointMachineSide,No English description available
77,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ballastDepth,Ballast depth,ballastDepth,No English description available
78,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesFasteningSystem,Set of switches fastening system,SetOfSwitchesFasteningSystem,No English description available
79,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SnowGuide,Snow guide,SnowGuide,No English description available
80,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/CLatSwitchTip,Centerline at switch tip,CLatSwitchTip,No English description available
81,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/UnderSleeperPadsType,Under sleeper pads type,UnderSleeperPadsType,No English description available
82,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/SetOfSwitchesProfile,Set oof switches profile,SetOfSwitchesProfile,No English description available
83,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/checkRailProfile,Check rail profile,checkRailProfile,No English description available
84,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/TypeOfTurnout,TypeOfTurnout,TypeOfTurnout,Type of turnout.
85,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/RoutePartNumberID,Route part number ID,RoutePartNumberID,No English description available
86,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/JointedTurnoutOrCWRturnout,Jointed turnout/CWR turnout,JointedTurnoutOrCWRturnout,No English description available
87,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/MaximumSpeedLimitOfDivergingLine,MaximumSpeedLimitOfDivergingLine,MaximumSpeedLimitOfDivergingLine,Maximum speed for diverging line that corresponds to the type of turnout and design constraints.
88,https://identifier.buildingsmart.org/uri/buildingsmart/ifc-4.3/prop/ConditionMaintenanceLevel,ConditionMaintenanceLevel,ConditionMaintenanceLevel,Condition that will trigger maintenance
89,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/WoodSleeperType,Wood sleeper type,WoodSleeperType,No English description available
90,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/PointDetectorManufacturer,Point detector manufacturer,PointDetectorManufacturer,No English description available
91,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/ConcreteSleeperType,Concrete sleeper type,ConcreteSleeperType,No English description available
92,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/CLatHeelOfTurnout,Centerline at heel of turnout,CLatHeelOfTurnout,No English description available
93,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/frogType,Frog type,frogType,No English description available
94,https://identifier.buildingsmart.org/uri/FTIA/FTIA-1.0/prop/turnoutRouteIndicator,Turnout route indicator,turnoutRouteIndicator,No English description available
140,https://identifier.buildingsmart.org/uri/FTIA/FTIA-Rata-1.0/prop/pölkkytyyppi,Pölkkytyyppi,pölkkytyyppi,New property description 1
176,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/korjauksen-kiireellisyysluokka,Korjauksen kiireellisyysluokka,korjauksen-kiireellisyysluokka,New property description 33
177,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/vari,Väri,vari,New property description 923
196,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kaidepylvastyyppi,Kaidepylvästyyppi,kaidepylvastyyppi,New property description 21
198,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/ankkurointi,Ankkurointi,ankkurointi,New property description 17
199,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/puoleisuus,Puoleisuus,puoleisuus,New property description 5
200,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kaiderakenne,Rakenne,kaiderakenne,New property description 3
202,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/nopeustaso,Nopeustaso,nopeustaso,New property description 17
205,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-rakeisuus,Rakeisuus,kantavan-kerroksen-rakeisuus,New property description 8
206,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-tyyppi,Tyyppi,kantavan-kerroksen-tyyppi,New property description 6
207,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-iskunkestavyys,Iskunkestävyys,kantavan-kerroksen-iskunkestavyys,New property description 1
210,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/seosaine,Seosaine,seosaine,New property description 23
214,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-stabilointityyppi,Stabilointityyppi,kantavan-kerroksen-stabilointityyppi,New property description 7
216,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/paksuus,Paksuus,paksuus,New property description 7
217,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/sideainepitoisuus,Sideainepitoisuus,sideainepitoisuus,New property description 4
218,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kantavan-kerroksen-materiaali,Materiaali,kantavan-kerroksen-materiaali,New property description 2
220,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/rumpuputkimateriaali-tarkennettu,Tarkennettu materiaali,rumpuputkimateriaali-tarkennettu,New property description 3
223,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lammityskaapeli,Lämmityskaapeli,lammityskaapeli,New property description 11
224,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kuormitusluokka,Kuormitusluokka,kuormitusluokka,New property description 1
229,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/reunatukityyppi,Reunatukityyppi,reunatukityyppi,New property description 9
235,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/tienvarsikalustetyyppi,Tienvarsikalustetyyppi,tienvarsikalustetyyppi,New property description 913
241,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/valaistus,Valaistus,valaistus,New property description 921
245,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lisatietoja, Lisätietoja,lisatietoja,Ei kuvausta
252,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/muu-korjausvastuu,Muu korjausvastuu,muu-korjausvastuu,New property description 21
262,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/muu-materiaali,Materiaali,muu-materiaali,New property description 13
264,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kasvillisuusrakenteen-materiaali,Materiaali,kasvillisuusrakenteen-materiaali,New property description 9
267,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/puomit-sulkulaitteet-pollarit-tarkennettutyyppi,Tarkennettu tyyppi,puomit-sulkulaitteet-pollarit-tarkennettutyyppi,New property description 1
283,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lampputyyppi,Lampputyyppi,lampputyyppi,Ei kuvausta
288,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/oid,VELHO OID,oid,New property description 32
296,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kiven-materiaali,Materiaali,kiven-materiaali,New property description 10
299,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/pylvaan-paksuus,Paksuus,pylvaan-paksuus,Ei kuvausta
302,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/irroitettavuus,Irroitettavuus,irroitettavuus,New property description 13
303,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/tormaysturvallisuus,Törmäysturvallisuus,tormaysturvallisuus,New property description 917
309,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/vaikutussuunta,Vaikutussuunta,vaikutussuunta,New property description 7
326,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/ilmajohtorakenteet,Ilmajohtorakenteet,ilmajohtorakenteet,New property description 11
332,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/putket-johdot-kaapelit-tarkennettu-materiaali,Tarkennettu materiaali,putket-johdot-kaapelit-tarkennettu-materiaali,Ei kuvausta
333,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/paalu,Paalut,paalu,New property description 4
337,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/lehtien-lukumaara,Lehtien lukumäärä,lehtien-lukumaara,New property description 3
339,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/verkon-sijainti,Verkon sijainti,verkon-sijainti,New property description 3
341,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/verkon-materiaali,Materiaali,verkon-materiaali,New property description 1
342,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/jakavan-kerroksen-rakeisuus,Rakeisuus,jakavan-kerroksen-rakeisuus,New property description 22
344,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/jakavan-kerroksen-materiaali,Materiaali,jakavan-kerroksen-materiaali,New property description 21
345,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kerros-paksuus,Kerrospaksuus,kerros-paksuus,New property description 16
346,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kerros-leveys,Kerrosleveys,kerros-leveys,New property description 18
353,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kannen-saatomahdollisuus,Kannen säätömahdollisuus,kannen-saatomahdollisuus,New property description 29
356,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kannen-koko,Kannen koko,kannen-koko,New property description 930
365,https://identifier.buildingsmart.org/uri/FTIA/FTIAtie-1.0/prop/kannen-tyyppi,Kannen tyyppi,kannen-tyyppi,New property description 31
367,https://identifier.buildingsmart.org/uri/SIUE/nbe-0.1/prop/R9r980ufkRmIA7V2zY6sGL,ElementNumber,R9r980ufkRmIA7V2zY6sGL,Refers to the national bridge elements code
368,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop38,StandbyTime,Prop38,Measured time interval throughout which an item is in a standby state
369,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop37,RepairTime,Prop37,Part of corrective maintenance time when repair is carried out on an item.
370,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop24,DownTime,Prop24,Measured time interval throughout which an item is in a down state
371,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop36,OperatingTimeToFailure,Prop36,"Operating time accumulated from the first use, or from restoration, until failure"
372,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop42,UpTime,Prop42,Measured time interval throughout which an item is in an up state
373,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop35,OperatingTimeBetweenFailures,Prop35,Measured time interval throughout which an item is in operating state
374,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop23,ActiveMaintenanceTime,Prop23,Part of the maintenance time when active maintenance is carried out on an item
375,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop34,OperatingTime,Prop34,Operating time between consecutive failures
376,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop33,Obsolescence,Prop33,"Inability of an item to be maintained due to the unavailability on the market of the necessary resources at acceptable technical and/or economic conditions. A ""True"" status means that the pump is obsolete and a ""False"" status means that the pump is not obsolete."
377,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop31,MeanRepairTime,Prop31,Average of the repair times
378,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop30,MeanOperatingTimeBetweenFailures,Prop30,Average of the operating times between failures
379,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop32,MeanTimeToRestauration,Prop32,Average of the time to restauration
380,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop29,MaintenanceTime,Prop29,"Time interval when maintenance is carried out on an item including technical, logistic and internal administrative delays"
381,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop41,TimeToRestoration,Prop41,"Time interval, from the instant of failure, until restoration"
382,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop28,MaintenanceLevel,Prop28,Maintenance task categorization by complexity
383,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop27,IdleTime,Prop27,Measured time interval throughout which an item is in an idle state
384,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop40,TimeBetweenFailures,Prop40,Duration between consecutive failures
385,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop26,FailureRate,Prop26,Number of failures within a population divided by the number of life units used by that population
386,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop39,StateOfTheItem,Prop39,Current state of the item
387,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop25,ExternalDisabledTime,Prop25,Measured time interval throughout which an item is in an external disabled state
388,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop448,DiscreteInputValue,Prop448,This property contains the actual value of the discrete input unit.
389,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop447,Status,Prop447,This property contains the actual status of the element.
390,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop446,OnOffCycle,Prop446,This property contains the total number of transitions of the value from the Off to the On state.
391,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop496,TotalHeadAtOutletAreaOfThePump,Prop496,"Head observed at outlet area of the pump, corresponding to the sum of the height, pressure head and velocity head."
392,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop495,RatedOutletPressure,Prop495,"Outlet pressure of the pump at the guarantee point with rated flow and rated speed, as well as rated inlet pressure, for rotodynamic pumps only."
393,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop494,MeanRatedVelocityAtOutlet,Prop494,Rated flow at pump outlet connection divided by the inlet area of the pump.
394,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop493,HeightOfTheOutletConnection,Prop493,Height of the center of the outlet connection of the pump.
395,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop488,NominalSize,Prop488,"An alphanumeric designation of size for components of a pipework system, which is used for reference purposes. It comprises the letters DN followed by a dimensionless whole number which is indirectly related to the physical size, in millimeters, of the bore or outside diameter of the end connections."
396,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop301,MaximumTemperature,Prop301,Highest fluid temperature to be expected under operating conditions
397,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop304,MinimumFlow,Prop304,Smallest rate of flow which is expected at operating conditions
398,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop290,Fluid,Prop290,Fluid that is handled by the pump at specified operating conditions
399,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop294,HeightOfThePump,Prop294,Height of the center of the pump
400,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop300,MaximumRelativeHumidity,Prop300,Highest relative humidity that can be expected under normal circumstances.
401,https://identifier.buildingsmart.org/uri/VDMAPumpsSystems/VDMAPumpsSystems-1.0/prop/Prop323,WorkingTemperature,Prop323,Temperature determined by the given application and fluid. 
